"date","num","num2","str","str2"
"2014-03-04","300","952.832706","boy","green"
"2014-03-31","428","465.364555","boy","red"
"2014-04-11","723","878.203092","boy","green"
"2014-05-11","860","194.985889","girl","yellow"
"2014-05-27","155","460.987946","boy","red"
"2014-05-27","437","694.223097","boy","green"
"2014-06-29","720","387.680953","boy","red"
"2014-08-17","696","774.897015","girl","green"
"2014-08-20","786","199.430695","girl","blue"
"2014-09-26","873","183.592237","boy","red"
"2014-10-23","357","102.774363","boy","red"
"2014-10-29","497","119.828422","girl","yellow"
"2014-11-25","322","119.102962","boy","green"
"2014-11-28","964","579.369511","boy","purple"
"2014-12-03","320","247.427160","girl","yellow"
"2014-12-23","62","787.836626","boy","yellow"
"2015-01-01","212","310.383853","girl","yellow"
"2015-02-01","97","498.973685","girl","blue"
"2015-02-16","774","110.680015","girl","blue"
"2015-02-18","291","843.984553","girl","yellow"
"2015-02-26","200","768.264990","boy","green"
"2015-03-01","37","249.788150","boy","yellow"
"2015-03-02","977","809.167848","boy","blue"
"2015-03-03","356","508.627272","girl","purple"
"2015-04-05","11","445.899128","boy","yellow"
"2015-04-07","58","277.709841","boy","purple"
"2015-04-21","926","949.267018","boy","purple"
"2015-05-02","596","963.376961","boy","green"
"2015-06-04","387","712.491756","boy","yellow"
"2015-07-11","422","562.153338","girl","yellow"
"2015-08-13","723","260.237361","boy","purple"
"2015-08-14","629","224.010859","boy","blue"
"2015-08-20","858","528.584456","girl","purple"
"2015-09-07","153","999.563128","girl","purple"
"2015-10-01","411","900.576673","boy","red"
"2015-10-06","721","832.925401","boy","red"
"2015-10-09","905","44.905768","boy","blue"
"2015-12-01","404","534.427466","boy","purple"
"2015-12-29","672","909.304653","girl","yellow"
"2016-03-22","365","44.381779","girl","green"
"2016-03-28","732","972.696331","girl","purple"
"2016-04-01","146","273.671177","girl","yellow"
"2016-04-03","65","338.246237","boy","blue"
"2016-05-19","875","520.096337","girl","yellow"
"2016-05-30","960","29.565442","boy","blue"
"2016-06-01","861","326.040039","boy","yellow"
"2016-06-18","828","451.811979","boy","yellow"
"2016-07-20","799","85.787864","boy","blue"
"2016-08-07","48","162.637139","girl","green"
"2016-09-14","213","467.285634","boy","purple"
